Customer_ID,Age,Gender,Region,Plan,Contract_Type,Payment_Method,Tenure_Months,Monthly_Charge,Support_Calls,Satisfaction_Score,Usage_Hours,Lifetime_Value,Churn,Churn_Reason
CUST_0034,32,Male,North,Basic,Two Year,Bank Transfer,1,26.84,2,9.4,22,26.84,Yes,High Price
CUST_0035,64,Female,North,Standard,Monthly,UPI,42,64.97,2,9.2,16,2728.74,No,Not Churned
CUST_0036,61,Female,East,Basic,Monthly,Credit Card,21,25.5,3,3.9,53,535.5,No,Not Churned
CUST_0037,20,Female,Central,Basic,Monthly,Debit Card,9,34.66,2,7.1,27,311.94,Yes,Competitor Offer
CUST_0038,54,Male,South,Standard,One Year,Bank Transfer,60,42.82,1,8.4,66,2569.2,No,Not Churned
CUST_0039,24,Male,West,Standard,One Year,Debit Card,47,68.54,0,9.5,15,3221.38,Yes,Competitor Offer
CUST_0040,38,Male,South,Basic,Monthly,Credit Card,15,32.45,2,8.0,77,486.75,No,Not Churned
CUST_0041,26,Male,Central,Standard,One Year,Debit Card,35,61.2,2,5.7,60,2142.0,No,Not Churned
CUST_0042,56,Female,North,Standard,Two Year,Credit Card,57,48.94,1,5.9,92,2789.58,No,Not Churned
CUST_0043,35,Female,North,Basic,Monthly,Bank Transfer,5,28.24,1,6.0,93,141.2,Yes,Customer Support
CUST_0044,21,Male,Central,Standard,Monthly,Debit Card,41,46.71,0,7.5,59,1915.11,No,Not Churned
CUST_0045,42,Male,North,Basic,Two Year,Debit Card,58,38.65,4,6.3,29,2241.7,No,Not Churned
CUST_0046,31,Female,North,Standard,One Year,Credit Card,22,54.64,1,2.4,13,1202.08,No,Not Churned
CUST_0047,26,Male,North,Standard,Two Year,Credit Card,41,58.91,0,5.2,16,2415.31,No,Not Churned
CUST_0048,43,Male,West,Basic,One Year,UPI,23,34.69,1,6.3,15,797.87,No,Not Churned
CUST_0049,19,Male,West,Basic,Two Year,Credit Card,7,27.42,1,5.0,42,191.94,Yes,Lack of Features
CUST_0050,37,Male,East,Standard,Monthly,Credit Card,56,61.6,2,5.2,32,3449.6,Yes,High Price
CUST_0051,45,Male,South,Premium,One Year,UPI,23,103.8,3,10.0,12,2387.4,No,Not Churned
CUST_0052,64,Male,Central,Standard,Two Year,Credit Card,44,61.17,3,7.0,78,2691.48,No,Not Churned
CUST_0053,24,Female,Central,Standard,One Year,Credit Card,25,54.68,2,6.4,93,1367.0,No,Not Churned
CUST_0054,61,Male,Central,Standard,Monthly,UPI,27,51.49,3,8.0,51,1390.23,No,Not Churned
CUST_0055,25,Male,East,Basic,Monthly,Bank Transfer,41,24.44,3,8.7,40,1002.04,No,Not Churned
CUST_0056,64,Female,West,Standard,Monthly,Bank Transfer,6,64.74,3,10.0,54,388.44,Yes,Competitor Offer
CUST_0057,52,Female,East,Standard,Monthly,Credit Card,55,58.25,2,9.6,13,3203.75,No,Not Churned
CUST_0058,31,Female,Central,Basic,Monthly,Credit Card,34,28.89,2,7.7,64,982.26,Yes,Competitor Offer
CUST_0059,34,Male,South,Basic,One Year,UPI,9,38.88,1,4.7,76,349.92,No,Not Churned
CUST_0060,53,Female,North,Basic,One Year,UPI,60,20.96,3,5.5,71,1257.6,No,Not Churned
CUST_0061,57,Male,West,Standard,Monthly,Bank Transfer,49,65.51,2,6.4,57,3209.99,No,Not Churned
CUST_0062,21,Male,West,Premium,One Year,Debit Card,33,119.88,2,7.8,86,3956.04,No,Not Churned
CUST_0063,19,Male,East,Basic,Monthly,Credit Card,51,37.74,1,7.1,21,1924.74,Yes,High Price
CUST_0064,23,Female,West,Standard,Monthly,Debit Card,60,64.31,0,4.8,57,3858.6,Yes,Competitor Offer
CUST_0065,59,Female,Central,Basic,Monthly,Debit Card,6,27.49,2,4.5,32,164.94,Yes,Competitor Offer
CUST_0066,21,Female,Central,Premium,One Year,UPI,37,81.57,1,7.4,67,3018.09,No,Not Churned
CUST_0067,46,Female,East,Basic,Monthly,Credit Card,31,34.7,2,7.2,19,1075.7,Yes,Competitor Offer
CUST_0068,35,Female,Central,Standard,Monthly,Credit Card,34,49.14,1,6.7,23,1670.76,No,Not Churned
CUST_0069,43,Male,South,Standard,Monthly,UPI,41,45.28,2,7.7,90,1856.48,No,Not Churned
CUST_0070,61,Male,East,Standard,Two Year,Debit Card,29,63.6,1,8.9,74,1844.4,Yes,Poor Service
CUST_0071,51,Male,South,Standard,Monthly,UPI,58,49.38,1,7.5,51,2864.04,No,Not Churned
CUST_0072,27,Male,North,Basic,One Year,Bank Transfer,14,38.29,3,5.6,75,536.06,No,Not Churned
CUST_0073,53,Female,South,Standard,One Year,Credit Card,36,65.22,3,9.9,52,2347.92,No,Not Churned
CUST_0074,31,Female,North,Basic,One Year,Bank Transfer,36,36.95,2,6.7,77,1330.2,No,Not Churned
CUST_0075,48,Male,North,Basic,Two Year,UPI,53,35.43,2,7.1,24,1877.79,No,Not Churned
CUST_0076,32,Female,South,Standard,Monthly,Credit Card,15,66.43,1,6.0,41,996.45,No,Not Churned
CUST_0077,25,Female,East,Basic,Monthly,Bank Transfer,8,36.11,4,5.4,79,288.88,Yes,Poor Service
CUST_0078,31,Male,Central,Basic,Two Year,Bank Transfer,26,32.05,2,5.5,6,833.3,No,Not Churned
CUST_0079,40,Male,Central,Standard,Monthly,Debit Card,36,48.87,1,5.2,68,1759.32,Yes,Lack of Features
CUST_0080,57,Female,North,Premium,One Year,Credit Card,48,114.41,5,2.5,90,5491.68,Yes,Customer Support
CUST_0081,38,Female,North,Standard,One Year,Bank Transfer,21,65.22,6,6.8,40,1369.62,No,Not Churned
CUST_0082,33,Male,East,Basic,One Year,Bank Transfer,28,29.46,4,8.7,9,824.88,Yes,High Price
CUST_0083,62,Male,West,Basic,Two Year,Debit Card,4,20.78,3,5.5,68,83.12,No,Not Churned
CUST_0084,35,Male,South,Premium,Two Year,Bank Transfer,16,101.93,0,10.0,11,1630.88,No,Not Churned
CUST_0085,64,Female,North,Basic,One Year,Bank Transfer,22,21.01,1,9.1,74,462.22,No,Not Churned
CUST_0086,41,Male,Central,Basic,Monthly,Bank Transfer,12,38.53,0,7.0,26,462.36,No,Not Churned
CUST_0087,43,Male,East,Standard,Two Year,Debit Card,16,68.85,2,5.3,78,1101.6,No,Not Churned
CUST_0088,42,Female,South,Standard,Monthly,Bank Transfer,51,45.68,0,4.6,50,2329.68,No,Not Churned
CUST_0089,62,Female,East,Standard,Monthly,Bank Transfer,40,60.29,2,6.8,44,2411.6,No,Not Churned
CUST_0090,58,Female,South,Basic,Two Year,Credit Card,38,21.85,2,7.1,65,830.3,Yes,Customer Support
CUST_0091,46,Female,South,Basic,Monthly,Credit Card,42,34.59,3,6.7,50,1452.78,No,Not Churned
CUST_0092,32,Female,North,Premium,Monthly,Debit Card,37,87.36,4,8.6,88,3232.32,No,Not Churned
CUST_0093,62,Male,East,Basic,Monthly,UPI,29,33.62,2,9.2,32,974.98,No,Not Churned
CUST_0094,18,Male,East,Standard,Two Year,Credit Card,18,51.19,2,7.7,91,921.42,No,Not Churned
CUST_0095,42,Female,Central,Standard,One Year,Debit Card,10,44.37,3,7.8,39,443.7,No,Not Churned
CUST_0096,24,Female,Central,Standard,One Year,Bank Transfer,42,52.18,1,6.5,5,2191.56,No,Not Churned
CUST_0097,26,Female,North,Basic,Monthly,Bank Transfer,39,22.25,2,7.0,33,867.75,No,Not Churned
CUST_0098,41,Female,North,Basic,One Year,Debit Card,18,31.54,2,7.6,13,567.72,No,Not Churned
CUST_0099,18,Female,West,Standard,One Year,Bank Transfer,1,41.23,3,6.5,13,41.23,Yes,Customer Support
CUST_0100,61,Male,Central,Premium,Monthly,Bank Transfer,39,96.37,3,8.0,26,3758.43,Yes,Poor Service
CUST_0101,25,Male,South,Premium,Monthly,UPI,21,114.32,3,5.4,67,2400.72,Yes,Lack of Features
CUST_0102,41,Male,East,Basic,Monthly,Bank Transfer,1,36.76,2,5.9,70,36.76,No,Not Churned
CUST_0103,28,Male,North,Basic,Two Year,Credit Card,15,37.66,3,5.4,84,564.9,No,Not Churned
CUST_0104,34,Female,East,Premium,One Year,Bank Transfer,4,116.1,1,6.0,62,464.4,Yes,Customer Support
CUST_0105,25,Male,East,Standard,Two Year,Debit Card,60,43.14,2,6.6,74,2588.4,No,Not Churned
CUST_0106,52,Female,West,Premium,Monthly,UPI,20,76.44,2,8.5,59,1528.8,No,Not Churned
CUST_0107,52,Female,Central,Basic,One Year,Bank Transfer,10,31.14,0,7.1,17,311.4,No,Not Churned
CUST_0108,50,Female,North,Standard,One Year,Debit Card,23,66.82,3,5.1,23,1536.86,Yes,Customer Support
CUST_0109,22,Male,East,Standard,One Year,Credit Card,41,69.23,3,4.9,83,2838.43,No,Not Churned
CUST_0110,59,Female,North,Standard,Two Year,Bank Transfer,34,41.39,4,6.4,37,1407.26,No,Not Churned
CUST_0111,56,Male,South,Standard,Monthly,UPI,60,50.67,0,8.3,78,3040.2,No,Not Churned
CUST_0112,58,Male,West,Basic,Monthly,Bank Transfer,46,24.26,0,9.1,69,1115.96,No,Not Churned
CUST_0113,45,Female,South,Standard,One Year,Debit Card,48,62.68,2,4.6,64,3008.64,No,Not Churned
CUST_0114,24,Female,North,Basic,One Year,UPI,33,32.8,1,7.6,16,1082.4,No,Not Churned
CUST_0115,26,Female,North,Standard,One Year,Bank Transfer,34,43.6,4,6.4,47,1482.4,No,Not Churned
CUST_0116,25,Male,Central,Premium,Monthly,Credit Card,39,94.18,2,6.5,97,3673.02,Yes,Competitor Offer
CUST_0117,29,Female,East,Standard,One Year,UPI,10,60.56,3,5.4,21,605.6,Yes,High Price
CUST_0118,51,Male,East,Premium,Monthly,Credit Card,54,108.95,0,6.7,72,5883.3,Yes,Lack of Features
CUST_0119,50,Female,South,Basic,Monthly,Debit Card,20,20.4,2,5.3,33,408.0,Yes,High Price
CUST_0120,40,Female,West,Standard,One Year,Bank Transfer,1,66.71,1,6.6,59,66.71,No,Not Churned
CUST_0121,41,Male,East,Premium,One Year,Credit Card,13,98.46,1,8.7,11,1279.98,No,Not Churned
CUST_0122,54,Male,Central,Basic,Monthly,Debit Card,1,36.24,0,7.9,48,36.24,No,Not Churned
CUST_0123,52,Male,South,Basic,Monthly,Bank Transfer,5,36.16,1,9.9,81,180.8,Yes,Poor Service
CUST_0124,61,Male,South,Standard,Monthly,Debit Card,16,45.7,1,7.8,9,731.2,No,Not Churned
CUST_0125,57,Male,Central,Basic,Monthly,Credit Card,15,22.2,1,7.3,64,333.0,Yes,Customer Support
CUST_0126,39,Male,West,Standard,One Year,Debit Card,49,61.64,0,7.8,10,3020.36,Yes,Customer Support
CUST_0127,44,Female,Central,Premium,Two Year,UPI,28,77.82,3,5.8,11,2178.96,No,Not Churned
CUST_0128,52,Female,West,Standard,Monthly,Bank Transfer,31,65.5,1,3.9,50,2030.5,No,Not Churned
CUST_0129,18,Male,Central,Basic,One Year,Debit Card,23,34.52,0,8.2,61,793.96,No,Not Churned
CUST_0130,52,Female,Central,Standard,Two Year,Credit Card,48,65.25,1,4.3,58,3132.0,No,Not Churned
CUST_0131,54,Male,North,Standard,Two Year,Bank Transfer,45,48.97,2,8.7,96,2203.65,No,Not Churned
CUST_0132,64,Female,South,Basic,Monthly,UPI,43,26.33,3,8.1,50,1132.19,No,Not Churned
CUST_0133,31,Female,Central,Standard,Two Year,Bank Transfer,17,60.14,2,5.7,14,1022.38,No,Not Churned
CUST_0134,20,Male,Central,Standard,Monthly,UPI,49,40.94,3,6.3,8,2006.06,Yes,High Price
CUST_0135,18,Male,East,Standard,Monthly,Bank Transfer,34,61.79,1,7.0,71,2100.86,No,Not Churned
CUST_0136,22,Male,South,Basic,Monthly,Debit Card,13,36.72,1,5.6,29,477.36,No,Not Churned
CUST_0137,43,Female,East,Standard,Monthly,Debit Card,14,52.45,2,7.8,91,734.3,No,Not Churned
CUST_0138,31,Male,South,Basic,Monthly,Credit Card,11,35.3,1,7.9,95,388.3,Yes,Poor Service
CUST_0139,56,Female,East,Basic,Monthly,UPI,28,23.49,2,4.8,82,657.72,Yes,Competitor Offer
CUST_0140,44,Male,Central,Premium,Monthly,Credit Card,42,86.11,1,5.8,65,3616.62,Yes,Competitor Offer
CUST_0141,26,Female,Central,Standard,Two Year,Debit Card,32,69.23,2,6.9,42,2215.36,No,Not Churned
CUST_0142,32,Female,North,Basic,Two Year,UPI,35,39.73,1,8.7,36,1390.55,Yes,Customer Support
CUST_0143,32,Male,East,Basic,Monthly,Credit Card,59,30.25,4,8.0,27,1784.75,Yes,Customer Support
CUST_0144,43,Female,West,Basic,Two Year,Credit Card,31,38.69,2,3.5,41,1199.39,No,Not Churned
CUST_0145,59,Female,North,Basic,Two Year,Credit Card,17,30.45,1,6.6,7,517.65,No,Not Churned
CUST_0146,30,Male,East,Basic,One Year,Credit Card,47,25.83,3,7.7,17,1214.01,Yes,Lack of Features
CUST_0147,49,Female,East,Basic,Monthly,Credit Card,9,25.34,2,5.8,38,228.06,Yes,High Price
CUST_0148,56,Male,North,Standard,One Year,UPI,10,67.89,1,5.7,92,678.9,Yes,Customer Support
CUST_0149,49,Male,Central,Standard,Two Year,Credit Card,8,45.17,3,5.9,69,361.36,No,Not Churned
CUST_0150,21,Male,East,Standard,One Year,UPI,21,57.39,3,6.5,80,1205.19,No,Not Churned
CUST_0151,47,Male,Central,Standard,Monthly,Credit Card,13,56.67,0,5.5,12,736.71,No,Not Churned
CUST_0152,54,Female,North,Basic,One Year,Debit Card,59,34.79,1,8.0,87,2052.61,No,Not Churned
CUST_0153,40,Female,Central,Premium,One Year,Debit Card,50,94.96,0,5.7,13,4748.0,No,Not Churned
CUST_0154,56,Female,South,Premium,One Year,Credit Card,5,83.61,0,5.4,32,418.05,No,Not Churned
CUST_0155,62,Male,West,Premium,Monthly,Bank Transfer,6,78.47,3,6.4,82,470.82,No,Not Churned
CUST_0156,32,Female,East,Premium,Monthly,Debit Card,30,101.04,1,9.2,95,3031.2,No,Not Churned
CUST_0157,60,Female,West,Premium,Two Year,UPI,31,105.95,3,7.8,22,3284.45,No,Not Churned
CUST_0158,46,Male,Central,Standard,Two Year,Credit Card,17,57.09,0,7.9,46,970.53,No,Not Churned
CUST_0159,53,Male,East,Basic,Monthly,UPI,11,34.77,2,7.4,45,382.47,Yes,Poor Service
CUST_0160,30,Female,Central,Standard,Two Year,Bank Transfer,20,44.25,4,5.6,74,885.0,Yes,High Price
CUST_0161,49,Male,South,Standard,Monthly,Credit Card,48,66.47,0,6.0,37,3190.56,No,Not Churned
CUST_0162,24,Male,North,Standard,One Year,Debit Card,9,57.47,0,5.8,93,517.23,No,Not Churned
CUST_0163,39,Male,East,Standard,One Year,UPI,2,43.81,1,8.6,81,87.62,Yes,Lack of Features
CUST_0164,45,Male,South,Basic,Two Year,Debit Card,37,29.24,2,7.4,58,1081.88,No,Not Churned
CUST_0165,19,Female,South,Standard,Two Year,Debit Card,1,65.34,2,4.5,91,65.34,No,Not Churned
CUST_0166,59,Male,East,Premium,Monthly,Credit Card,4,114.88,2,9.2,40,459.52,No,Not Churned
CUST_0167,62,Male,Central,Standard,Two Year,UPI,36,47.94,1,6.5,89,1725.84,Yes,Competitor Offer
CUST_0168,23,Male,South,Standard,Monthly,Bank Transfer,54,61.34,3,8.0,60,3312.36,Yes,Lack of Features
CUST_0169,45,Male,West,Basic,One Year,Debit Card,58,22.0,2,8.6,21,1276.0,No,Not Churned
CUST_0170,45,Male,South,Standard,One Year,Credit Card,25,41.01,3,3.2,14,1025.25,No,Not Churned
CUST_0171,61,Male,Central,Premium,One Year,Credit Card,3,98.02,1,7.7,91,294.06,Yes,High Price
CUST_0172,61,Male,Central,Standard,Monthly,Bank Transfer,9,60.84,0,6.6,48,547.56,No,Not Churned
CUST_0173,37,Male,West,Standard,Two Year,Credit Card,22,63.87,3,3.4,6,1405.14,No,Not Churned
CUST_0174,47,Female,South,Standard,Monthly,Debit Card,23,50.21,0,5.3,18,1154.83,Yes,Competitor Offer
CUST_0175,28,Male,Central,Standard,Monthly,Credit Card,12,40.2,1,6.3,45,482.4,No,Not Churned
CUST_0176,45,Female,East,Basic,One Year,UPI,10,29.59,1,8.3,6,295.9,No,Not Churned
CUST_0177,42,Male,North,Standard,Monthly,UPI,34,40.48,0,6.7,23,1376.32,No,Not Churned
CUST_0178,56,Male,North,Standard,Two Year,Debit Card,43,42.76,2,7.2,84,1838.68,Yes,Poor Service
CUST_0179,50,Male,North,Standard,Monthly,UPI,10,49.8,1,6.5,93,498.0,Yes,Competitor Offer
CUST_0180,18,Male,South,Standard,Monthly,Bank Transfer,30,53.12,2,8.6,5,1593.6,Yes,Competitor Offer
CUST_0181,44,Female,West,Premium,Two Year,Credit Card,22,83.97,3,7.8,6,1847.34,Yes,Poor Service
CUST_0182,30,Male,Central,Basic,One Year,Debit Card,6,31.64,5,7.2,31,189.84,Yes,Customer Support
CUST_0183,58,Male,East,Premium,Monthly,Bank Transfer,50,72.77,2,5.3,6,3638.5,No,Not Churned
CUST_0184,20,Female,East,Basic,One Year,Credit Card,2,22.89,3,7.2,98,45.78,No,Not Churned
CUST_0185,56,Female,South,Standard,One Year,Bank Transfer,30,60.86,2,10.0,55,1825.8,No,Not Churned
CUST_0186,23,Male,North,Basic,One Year,Debit Card,2,22.84,3,8.2,14,45.68,No,Not Churned
CUST_0187,25,Female,South,Basic,Monthly,Debit Card,32,32.8,1,5.9,23,1049.6,Yes,Customer Support
CUST_0188,44,Female,West,Standard,Two Year,Bank Transfer,42,41.64,2,9.8,84,1748.88,No,Not Churned
CUST_0189,26,Female,West,Basic,Two Year,Credit Card,16,28.15,0,5.8,17,450.4,Yes,Competitor Offer
CUST_0190,54,Male,Central,Standard,One Year,UPI,12,45.32,1,8.1,52,543.84,No,Not Churned
CUST_0191,50,Male,Central,Premium,Monthly,UPI,1,75.48,0,6.9,60,75.48,Yes,Competitor Offer
CUST_0192,59,Male,West,Basic,Two Year,Bank Transfer,53,31.34,3,7.3,76,1661.02,No,Not Churned
CUST_0193,61,Female,West,Standard,One Year,Debit Card,8,67.85,1,7.3,60,542.8,No,Not Churned
CUST_0194,41,Male,West,Standard,One Year,Credit Card,48,41.64,2,6.6,54,1998.72,No,Not Churned
CUST_0195,32,Female,South,Standard,Monthly,Credit Card,50,52.65,1,6.4,99,2632.5,Yes,Lack of Features
CUST_0196,49,Male,West,Basic,Two Year,Debit Card,13,34.15,0,5.0,49,443.95,No,Not Churned
CUST_0197,49,Male,East,Basic,One Year,UPI,15,29.25,2,5.3,93,438.75,No,Not Churned
CUST_0198,41,Female,North,Basic,Monthly,Credit Card,53,36.13,2,7.5,63,1914.89,No,Not Churned
CUST_0199,58,Male,West,Basic,Monthly,Bank Transfer,44,23.59,2,6.0,43,1037.96,Yes,Customer Support
CUST_0200,29,Female,North,Basic,Two Year,UPI,8,39.19,1,5.6,25,313.52,No,Not Churned
CUST_0201,56,Female,South,Standard,Monthly,Bank Transfer,10,51.55,3,10.0,59,515.5,Yes,Poor Service
CUST_0202,19,Male,North,Premium,Two Year,UPI,46,87.08,4,10.0,61,4005.68,No,Not Churned
CUST_0203,20,Female,South,Premium,One Year,Debit Card,5,113.73,2,7.9,45,568.65,No,Not Churned
CUST_0204,54,Male,East,Standard,One Year,Bank Transfer,50,56.92,3,8.1,97,2846.0,No,Not Churned
CUST_0205,34,Male,South,Basic,Monthly,Bank Transfer,19,30.33,2,5.8,74,576.27,Yes,Competitor Offer
CUST_0206,19,Female,South,Basic,Monthly,Debit Card,47,34.54,6,5.2,86,1623.38,Yes,Competitor Offer
CUST_0207,19,Male,Central,Basic,Two Year,Bank Transfer,38,31.6,5,6.5,53,1200.8,Yes,Lack of Features
CUST_0208,45,Female,West,Basic,Monthly,UPI,59,23.25,1,7.0,48,1371.75,Yes,Lack of Features
CUST_0209,40,Male,West,Standard,One Year,Credit Card,11,60.23,1,8.1,39,662.53,No,Not Churned
CUST_0210,54,Male,East,Standard,Monthly,Credit Card,53,44.0,3,4.3,95,2332.0,No,Not Churned
CUST_0211,49,Male,East,Standard,Monthly,Debit Card,43,64.18,3,10.0,9,2759.74,No,Not Churned
CUST_0212,50,Male,West,Standard,Monthly,UPI,20,69.69,6,7.4,75,1393.8,Yes,Lack of Features
CUST_0213,18,Male,Central,Premium,One Year,Bank Transfer,20,88.87,2,4.7,78,1777.4,No,Not Churned
CUST_0214,36,Female,West,Standard,Two Year,Bank Transfer,21,53.34,1,7.2,78,1120.14,No,Not Churned
CUST_0215,19,Female,Central,Basic,Monthly,Credit Card,18,20.93,0,5.6,55,376.74,Yes,High Price
CUST_0216,61,Female,East,Premium,Monthly,Bank Transfer,57,70.69,2,5.5,61,4029.33,Yes,Poor Service
CUST_0217,43,Female,North,Premium,Monthly,Credit Card,50,116.07,3,5.4,62,5803.5,No,Not Churned
CUST_0218,49,Female,East,Basic,One Year,Debit Card,10,22.57,2,6.6,96,225.7,No,Not Churned
CUST_0219,23,Female,East,Standard,Monthly,Bank Transfer,34,53.37,3,10.0,40,1814.58,No,Not Churned
CUST_0220,49,Male,South,Standard,Two Year,UPI,26,64.46,1,7.1,14,1675.96,No,Not Churned
CUST_0221,21,Male,South,Premium,One Year,Bank Transfer,30,114.47,1,8.0,54,3434.1,No,Not Churned
CUST_0222,28,Female,South,Premium,One Year,Credit Card,9,95.97,3,8.4,41,863.73,No,Not Churned
CUST_0223,34,Female,South,Basic,Monthly,Debit Card,46,31.3,0,6.8,24,1439.8,Yes,High Price
CUST_0224,55,Male,Central,Standard,Two Year,Credit Card,51,60.09,1,5.3,17,3064.59,No,Not Churned
CUST_0225,41,Male,West,Standard,Monthly,Bank Transfer,31,68.84,3,4.6,79,2134.04,No,Not Churned
CUST_0226,22,Male,North,Standard,Monthly,Credit Card,42,58.08,2,6.4,23,2439.36,No,Not Churned
CUST_0227,51,Female,East,Basic,One Year,Credit Card,55,31.19,1,8.7,96,1715.45,No,Not Churned
CUST_0228,23,Female,Central,Premium,One Year,Debit Card,4,70.73,1,8.4,60,282.92,No,Not Churned
CUST_0229,39,Female,North,Standard,Monthly,UPI,6,42.43,6,7.4,49,254.58,Yes,Competitor Offer
CUST_0230,28,Male,Central,Premium,Monthly,Bank Transfer,14,98.86,1,7.6,64,1384.04,No,Not Churned
CUST_0231,33,Male,Central,Premium,One Year,Debit Card,4,116.81,2,6.8,72,467.24,Yes,Lack of Features
CUST_0232,50,Female,East,Standard,Monthly,UPI,26,66.0,1,6.3,61,1716.0,Yes,Lack of Features
CUST_0233,26,Female,West,Standard,Two Year,Credit Card,47,69.48,1,5.9,58,3265.56,No,Not Churned
CUST_0234,23,Male,South,Standard,One Year,UPI,48,55.84,2,4.8,41,2680.32,No,Not Churned
CUST_0235,33,Male,West,Basic,Monthly,Credit Card,39,35.76,2,9.7,87,1394.64,Yes,Lack of Features
CUST_0236,46,Male,East,Standard,Monthly,Credit Card,17,65.21,1,7.3,41,1108.57,No,Not Churned
CUST_0237,20,Male,East,Basic,Monthly,Debit Card,19,32.96,2,6.3,18,626.24,No,Not Churned
CUST_0238,37,Female,East,Standard,One Year,Credit Card,51,50.16,1,9.7,99,2558.16,No,Not Churned
CUST_0239,53,Male,North,Basic,One Year,Debit Card,49,29.4,3,10.0,96,1440.6,No,Not Churned
CUST_0240,36,Male,West,Basic,Monthly,UPI,6,37.16,3,10.0,48,222.96,No,Not Churned
CUST_0241,43,Male,West,Basic,One Year,UPI,29,25.97,3,6.6,87,753.13,No,Not Churned
CUST_0242,20,Female,Central,Basic,Two Year,Credit Card,11,38.47,3,7.2,46,423.17,No,Not Churned
CUST_0243,36,Female,Central,Standard,Monthly,Debit Card,16,46.89,4,8.0,5,750.24,No,Not Churned
CUST_0244,37,Male,Central,Standard,Two Year,Credit Card,30,62.49,3,9.5,27,1874.7,No,Not Churned
CUST_0245,49,Male,East,Standard,Monthly,Debit Card,25,58.92,0,7.1,68,1473.0,No,Not Churned
